id,date,int_lang,area,type,cell,safe,youngest,reg,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_ussen_dur,prim16_party,prim16_pres_dem,prim16_pres_dem_other,prim16_sen_dem,prim16_sen_dem_other,prim16_pres_rep,prim16_pres_rep_other,prim16_sen_rep,prim16_sen_rep_other,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_services,gamble_exp,tax_ret_inc,tax_ret_50K,tax_ret_supp,tax_inc_temp,tax_inc_mil,tax_inc_grad,tax_gas,redist_neutral,redist_commis,cf_judge,cf_judge_pub,term_lim,right2work,budg_affect,budg_imp1,budg_imp2,budge_imp3,budg_imp4,budg_imp5,budg_imp6,budg_imp7,budg_imp_other,budg_child,budg_citycuts,budg_he,budg_infradec,budg_jobloss,budg_locecon,budg_realest,budg_socserv,budg_other,abort_leg,lg_rights,med_mari,mari_rec,vet_courts,miss_diabet,miss_depress,miss_heart,miss_anxiety,education,ideo_leans,ideology,party_leans,party_aff1,employ_time,employ_type,retired_type,union,relig_att_often,relig_type,religion,born_again,vet,vet_fam,zip,age_cat,birth_yr,rac_eth1,rac_eth_other,hhinc1,Generation,hhinc,party_aff,rac_eth,raunerapp
008982,20160215,1,2,1, , ,1,1,2,2,2,2,3,4,4,4,4, , , , , , , , ,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1, , ,1,3,5,9,5,3,4, , ,1,1,1, ,2,5,1,99999,14,0,1, ,4,0,2,3,1,2
009334,20160216,1,1,2,1,1, ,1,1,1,2,1,1,5,5,1,1,1, ,1, , , , , ,1,2,2,1,2,2,2,1,2,2,2,3,2,3,1,3,3,3,1,2,3,1,3,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,4,1,1,3, ,3,1, ,5,3,2,4,2,3, ,5,2,6, ,1,1,6,2,99999,14,0,7, ,8,0,9,2,7,2
010422,20160215,1,2,1, , ,1,1,1,3,3,3,5,9,9,9,4, , , , , , , , ,5,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,5,3,5,5,3,5,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,4,4,5,3,3, ,5, ,5,7,6,9,9,9,5, , ,3,6, ,9, ,6,3,99999,14,0,7, ,9,0,9,9,7,3
011034,20160216,1,1,2,1,1, ,1,1,1,1,1,2,2,2,1,3, , , , , , , , ,1,1,2,1,1,2,1,1,2,2,1, ,1,2,1,1,1,2,1,3,3,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2, ,2,2, ,5,4,3,4,2,4, , ,2,6, ,9, ,6,3,99999,14,0,7, ,9,0,9,2,7,1
012724,20160219,1,2,1, , ,1,1,1,2,2,2,3,2,1,5,2, , , , ,6, ,1, ,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,4,1,1,4,2,1,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,3,4,2,1, ,5, ,2,4,5,9,7,3,3, ,3,2,1,1, ,2,2,2,99999,12,1937,1, ,9,1,9,3,1,1
013473,20160216,1,1,2,1,1, ,1,1,2,3,3,4,2,2,2,3, , , , , , , , ,2,2,2,2,2,1,2,2,3,1,1, ,1,2,1,2,1,1,1,2,3,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1, ,1, ,2,2,6,9,9,9,4, , ,1,5, ,1,2,5,2,99999,1,1997,4, ,1,4,1,9,3,1
014949,20160218,1,2,2,1,1, ,1,1,2,2,2,2,3,9,4,4, , , , , , , , ,2,3,3,3,3,3,3,3,3,2,3, ,3,2,3,3,2,3,3,5,5,1,5,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,4,5,3,2, ,5,2, ,7,5,9,9,9,1,3, ,1,1,9, , ,5,2,99999,14,0,1, ,5,0,2,9,1,3
015971,20160218,1,2,2,1,1, ,1,2,2,2,2,5,5,1,2,1,1, ,2, , , , , ,2,2,2,1,2,2,2,1,2,2,1, ,1,1,2,1,2,4,1,1,4,1,1,1,2,8, , , , , , ,0,1,0,0,0,0,0,1,0,2,1,1,1,2,4, , ,4,5,3,2,1,1,1,4, ,2,1,2, , ,1,1,99999,7,1963,2, ,1,2,1,1,2,2
016459,20160217,1,3,1, , ,1,1,1,2,2,2,5,2,2,5,4, , , , , , , , ,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,1,1, ,1,1, ,6,3,2,8,8,3, ,1,1,3,1, ,2,5,1,99999,10,1950,1, ,2,2,1,9,1,1
016504,20160217,1,3,2,1,1, ,1,1,3,2,1,4,9,9,9,2, , , , ,2, ,4, ,3,2,2,1,3,2,2,2,2,2,2,3,2,1,3,3,1,2,1,5,5,2,4,1,10, , , , , , , ,0,0,0,0,0,0,0,0,0,4,3,1,2,2,1, ,1, ,4,3,2,6,3,1,5, ,3,3,1, ,2,2,1,99999,14,0,7, ,9,0,9,3,7,3
019092,20160218,1,2,2,1,1, ,1,2,2,2,1,2,4,2,2,1,2, ,1, , , , , ,5,2,2,1,1,2,2,1,2,2,1, ,1,1,1,1,1,2,2,2,1,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1, , ,2,5,2,1,1,1,1,4, ,2,1,1, ,2,5,1,99999,3,1982,2, ,5,3,2,1,2,2
020472,20160217,1,2,1, , ,1,1,2,2,2,2,3,2,2,1,4, , , , , , , , ,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,4,1,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1, , ,1,2,2,1,9,9,3, ,4,1,1,1, ,2,5,1,99999,14,0,7, ,9,0,9,9,7,1
021584,20160216,1,2,2,1,1, ,1,1,1,2,2,2,1,4,5,2, , , , ,3, ,1, ,3,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,3,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1, , ,2,2,4,3,4,2,2,1, ,2,3,1, ,2,5,2,99999,14,0,7, ,9,0,9,2,7,1
024058,20160218,1,2,2,1,1, ,1,1,2,2,2,2,2,1,4,2, , , , ,3, ,1, ,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,2,1,3,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,4,2,1,1, , ,1,6,3,2,5,3,2,4, ,2,2,2, , ,5,2,99999,14,0,1, ,6,0,3,3,1,1
024980,20160218,1,2,2,1,1, ,1,2,2,3,1,2,2,2,2,1,1, ,5, , , , , ,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,3,2,5,1,1,4,1,2,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,4,2,2, ,3,1, ,6,4,3,5,3,1,4, ,2,3,2, , ,5,2,99999,14,0,3, ,8,0,9,3,3,1
025138,20160218,1,2,2,1,1, ,1,2,1,3,3,2,9,9,2,1,1, ,2, , , , , ,5,1,1,2,1,1,1,1,2,1,1, ,1,1,1,1,2,1,1,3,2,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1, ,1, ,3,5,9,1,1,1,1, ,2,4, ,1,1,5,1,99999,7,1964,2, ,3,2,1,1,2,3
027176,20160217,1,2,1, , ,1,1,1,2,2,2,2,1,9,9,2, , , , ,6, ,1, ,3,1,2,2,3,1,2,1,2,2,2,2,2,2,2,1,2,4,2,1,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1, ,1, ,2,5,9,6,3,3, ,1,1,5, ,3, ,2,1,99999,11,1942,1, ,6,1,3,3,1,1
027549,20160217,1,2,1, , ,1,1,2,1,2,2,2,5,2,1,1,1, ,1, , , , , ,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2, , , , , , , ,0,1,0,0,0,0,0,0,0,1,1,1,2,1, ,2, ,1,3,1,1,1,1,3, ,1,2,3,1, ,2,5,2,99999,13,1930,1, ,3,1,1,1,1,2
028179,20160219,1,2,1, , ,1,1,2,2,2,1,2,1,5,5,2, , , , ,3, ,2, ,2,1,1,2,2,1,3,3,2,2,2,2,2,2,2,2,2,5,2,2,3,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,4,2,3,5, ,5, ,5,5,9,4,2,3, ,2,2,1,1, ,2,5,2,99999,14,0,1, ,9,0,9,2,1,1
029142,20160218,1,2,1, , ,1,1,1,3,2,2,3,2,4,2,1,4, ,1, , , , , ,3,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,6, , , , , , , ,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1, ,5, ,5,3,2,3,1,2,1, ,2,4, ,1,2,5,1,99999,14,0,1, ,4,0,2,1,1,1
031613,20160219,1,2,1, , ,1,1,1,2,2,2,3,2,5,2,1,2, ,5, , , , , ,3,1,2,2,2,1,1,2,2,2,1, ,1,2,1,2,2,4,2,4,2,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1, , ,4,5,3,2,5,3,1,3, ,2,3,1, ,1,6,3,99999,14,0,7, ,9,0,9,3,7,1
033614,20160218,1,2,1, , ,1,1,2,2,2,2,4,5,4,4,3, , , , , , , , ,2,2,2,2,2,3,2,2,2,1,2,2,2,2,1,1,2,1,1,1,4,1,1,1,7, , , , , , , ,0,0,0,0,0,0,1,0,0,1,1,1,2,2,1, ,1, ,5,4,3,4,2,5, , ,3,4, ,2, ,5,1,99999,10,1950,7, ,4,2,2,2,7,2
035154,20160217,1,2,1, , ,1,1,2,3,2,1,3,2,9,5,2, , , , ,1, ,4, ,3,3,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,3,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,5,2,1, ,2,1, ,5,4,3,5,3,3, ,4,2,2,1, ,2,5,1,99999,13,1932,1, ,9,1,9,3,1,1
036190,20160218,1,2,2,1,1, ,1,2,1,1,1,2,2,2,2,1,1, ,5, , , , , ,4,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,3,3,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2, ,1,1, ,3,4,3,1,1,4, , ,2,1,1, ,2,5,2,99999,9,1953,2, ,3,2,1,1,2,1
036337,20160220,1,2,1, , ,1,1,2,2,2,2,3,2,2,1,4, , , , , , , , ,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,4,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,4,2,3, ,5, ,5,7,3,2,9,9,5, , ,2,3,1, ,2,5,1,99999,14,0,7, ,9,0,9,9,7,1
036504,20160218,1,2,2,1,1, ,1,1,2,2,1,4,1,5,5,2, , , , ,3, ,2, ,2,1,1,2,1,3,2,1,2,2,1, ,1,2,2,1,2,1,1,4,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,3,1,2,1,1, , ,1,2,5,9,7,3,3, ,4,2,1,1, ,2,2,1,99999,11,1944,1, ,5,1,2,3,1,1
038671,20160219,1,2,1, , ,1,1,1,3,3,3,3,9,9,9,4, , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,1,4,1,10, , , , , , , ,0,0,0,0,0,0,0,0,0,4,4,1,3,1,1, ,1, ,6,6,9,9,9,1,1, ,1,6, ,1,1,2,1,99999,4,1980,7, ,9,3,9,9,7,3
038774,20160218,1,2,1, , ,1,1,2,2,2,1,2,3,9,3,2, , , , ,6, ,1, ,3,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,5,3,2,4,1,6,1,5, , , , , , , ,0,0,0,0,1,0,0,0,0,2,4,1,2,1,1, , ,5,4,4,3,9,9,1,5, ,2,1,1, ,1,5,1,99999,8,1957,1, ,9,2,9,9,1,3
040002,20160218,1,2,1, , ,1,1,2,1,2,1,2,5,2,1,4, , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,3,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,3,1, ,1, ,1,6,2,1,3,1,3, ,3,1,2,1, ,2,5,1,99999,14,0,2, ,4,0,2,1,2,2
040328,20160219,1,1,1, , ,1,1,1,1,2,1,2,4,5,4,1,1, ,5, , , , , ,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10, , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,1,1, ,1, ,1,5,1,1,2,1,3, ,2,2,1,1, ,1,5,2,99999,14,0,4, ,1,0,1,1,3,2
042140,20160218,1,2,2,1,1, ,1,1,2,2,1,2,2,4,4,2, , , , ,3, ,2, ,3,2,2,1,2,2,2,2,2,2,1, ,1,2,2,2,2,3,2,3,4,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2, , ,3,5,5,9,7,3,1,3, ,1,1,2, , ,2,1,99999,14,0,1, ,4,0,2,3,1,1
045978,20160218,1,3,1, , ,1,1,1,1,2,3,3,5,3,1,1,2, ,1, , , , , ,3,2,1,1,1,2,2,2,1,1,1, ,1,1,1,1,1,4,3,2,5,2,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1, ,5, ,2,6,9,1,1,3, ,3,2,6, ,1,2,5,2,99999,12,1939,1, ,6,1,3,1,1,2
053520,20160217,1,3,1, , ,1,1,1,2,3,1,2,5,2,2,1,2, ,5, , , , , ,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,5,2,1,2,2,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,4,4,2,1, ,1,1, ,3,3,2,1,1,2,4, ,1,6, ,9, ,5,2,99999,12,1938,1, ,9,1,9,1,1,2
056216,20160220,1,3,1, , ,1,1,2,2,2,1,2,2,9,9,2, , , , ,3, ,4, ,3,2,2,3,3,3,2,2,1,3,1, ,1,1,2,2,1,5,3,2,1,1,2,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,2,1, ,1,1, ,6,5,9,7,3,3, ,4,2,2,1, ,1,5,1,99999,14,0,1, ,7,0,4,3,1,1
059594,20160220,1,2,1, , ,1,1,1,2,2,1,2,2,9,9,2, , , , ,8, ,4, ,3,2,2,1,2,1,1,1,2,1,1, ,1,2,2,2,2,1,1,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,3,1, ,5,1, ,3,3,2,5,3,1,4, ,2,4, ,1,2,5,2,99999,14,0,1, ,9,0,9,3,1,1
059800,20160220,1,1,1, , ,1,1,1,1,2,2,2,4,4,2,1,2, ,1, , , , , ,3,2,2,2,2,2,2,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1,3,1,7, , , , , , , ,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1, , ,3,5,2,1,2,1,3, ,1,2,4, ,2, ,2,2,99999,14,0,1, ,6,0,3,1,1,2
060095,20160220,1,1,1, , ,1,1,1,1,2,1,2,5,4,2,4, , , , , , , , ,2,2,2,2,1,2,2,2,1,1,1, ,1,2,1,1,1,2,1,1,2,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1, , ,3,5,2,1,3,1,3, ,1,2,5, ,1,2,2,1,99999,11,1945,5, ,4,1,2,1,3,2
060780,20160220,1,3,1, , ,1,1,1,2,2,1,2,2,9,2,3, , , , , , , , ,1,2,3,2,1,1,3,1,1,2,2,2,2,2,2,2,2,4,2,4,4,2,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,4,2,2, ,3,4, ,6,4,3,4,2,3, ,4,2,5, ,3, ,3,1,99999,13,1920,1, ,7,1,4,2,1,1
061110,20160220,1,2,1, , ,1,1,2,1,2,2,4,5,4,1,1,1, ,3, , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,2,1,4,1,4,1,3, , , , , , , ,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1, ,1, ,5,1,1,1,1,1,1, ,2,4, ,1,1,5,1,99999,14,0,2, ,7,0,4,1,2,2
061684,20160220,1,2,1, , ,1,1,2,2,2,1,3,2,2,5,3, , , , , , , , ,4,2,1,2,3,3,2,1,1,2,2,2,2,2,2,2,1,5,2,2,5,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,1,2,3,2, , ,2,2,5,9,5,3,3, ,5,1,1,1, ,2,5,1,99999,13,1935,1, ,9,1,9,3,1,1
063065,20160220,1,1,1, , ,1,1,1,1,2,2,2,5,9,2,2, , , , ,4, ,4, ,3,2,2,1,2,2,2,1,1,2,1, ,1,1,1,1,1,1,1,1,3,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5, ,2, ,6,3,2,4,2,3, ,1,2,4, ,3, ,5,1,99999,14,0,5, ,7,0,4,2,3,2
063101,20160220,1,1,1, , ,1,1,2,3,3,3,4,9,9,9,4, , , , , , , , ,5,3,3,3,3,2,1,2,2,3,3, ,3,3,3,3,3,5,3,5,5,3,6,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,4,4,5,3,3, ,5,5, ,7,6,9,9,9,5, , ,3,6, ,9, ,6,3,99999,14,0,7, ,9,0,9,9,7,3
064959,20160220,1,2,1, , ,1,1,1,3,3,1,5,9,9,9,4, , , , , , , , ,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,1,5,2,1,6,1,10, , , , , , , ,0,0,0,0,0,0,0,0,0,4,4,1,1,2,5, , ,2,1,6,9,9,9,3, ,4,2,2,9, , ,5,2,99999,14,0,7, ,2,0,1,9,7,3
065279,20160220,1,1,1, , ,1,1,2,1,2,2,2,4,3,1,1,1, ,1, , , , , ,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,5,1,1,1,2,4,1,8, , , , , , , ,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1, , ,1,6,2,1,1,1,2,2, ,2,5, ,2, ,5,2,99999,14,0,1, ,9,0,9,1,1,2
067156,20160220,1,3,1, , ,1,1,2,2,2,2,3,5,5,1,4, , , , , , , , ,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,4,1,1,2,2, ,1,1, ,4,4,3,4,2,5, , ,1,4, ,2, ,5,1,99999,1,1996,1, ,2,4,1,2,1,2
076865,20160220,1,3,1, , ,1,1,2,2,2,2,3,5,2,2,1,1, ,1, , , , , ,3,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1, ,1,3, ,2,3,2,1,1,3, ,1,2,6, ,1,2,5,2,99999,10,1950,1, ,9,2,9,1,1,2
015994,20160218,1,3,2,1,1, ,1,1,2,2,1,2,1,9,5,2, , , , ,6, ,1, ,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,5,5, , , , , , ,0,0,0,0,1,0,0,0,0,2,2,1,1,1, ,1,1, ,5,5,9,5,3,1,4, ,2,2,1, ,1,5,2,62974,6,1970,1, ,3,3,1,3,1,1
017803,20160218,1,3,2,1,1, ,1,1,2,1,1,2,1,2,2,2, , , , ,5, ,1, ,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,2,2, ,3,1, ,3,4,3,6,3,3, ,1,1,1,1, ,1,5,1,62972,9,1953,1, ,4,2,2,3,1,1
056923,20160218,1,3,1, , ,1,1,2,2,3,1,2,4,2,2,2, , , , ,3, ,1, ,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,4,1,5,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,2,1, ,1,1, ,3,5,9,7,3,3, ,3,2,1,1, ,1,5,1,62966,12,1939,1, ,1,1,1,3,1,2
037010,20160217,1,3,1, , ,1,1,1,2,2,2,4,2,4,5,2, , , , ,5, ,1, ,2,3,1,1,1,1,2,1,2,2,1, ,1,2,1,2,1,5,2,1,1,1,4,1,5, , , , , , , ,0,0,0,0,1,0,0,0,0,3,2,1,2,1, ,3,1, ,5,4,3,7,3,3, ,4,2,1,1, ,2,2,2,62965,13,1926,1, ,4,1,2,3,1,1
037194,20160218,1,3,1, , ,1,1,2,2,2,1,2,9,9,2,1,4, ,5, , , , , ,3,2,2,2,3,2,3,3,1,2,1, ,1,2,1,1,2,1,3,5,4,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,2,1, ,2, ,1,3,4,3,3,1,3, ,4,2,1,1, ,2,5,2,62960,12,1937,1, ,1,1,1,1,1,3
007565,20160217,1,3,2,1,1, ,1,2,2,2,2,2,5,9,2,3, , , , , , , , ,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,3,1,2,1,1,1,8, , , , , , , ,0,0,0,0,0,0,0,1,0,2,4,1,2,1, ,2,1, ,3,2,1,3,1,1,1, ,2,5, ,1,2,5,1,62959,5,1973,1, ,1,3,1,1,1,2
015657,20160217,1,3,2,1,1, ,1,1,2,2,2,5,2,5,9,2, , , , ,6, ,2, ,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,3,1,4,1,2,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,4,2,1,1, ,1, ,5,2,1,5,3,3, ,1,2,4, ,1,1,2,2,62959,10,1949,1, ,1,2,1,3,1,1
023557,20160218,1,3,2,1,1, ,1,1,2,2,2,3,2,9,1,2, , , , ,3, ,4, ,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,3,1,2,2, ,2,1, ,6,4,3,7,3,1,1, ,2,2,1, ,1,5,2,62959,2,1988,1, ,6,4,3,3,1,1
