id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,gen14_vote,gen14_poll,gen14_likelyvoter,gen14_enthus,gen14_house,gen14_housecol,gen14_house_other,gen14_gov,gen14_gov_col,gen14_gov_other,gen14_ussen,gen14_ussen_col,gen14_ussen_other,gen14_voter,gen14_victim,gen14_minwage,gen14_insbc,tax_inc_mil,redist_neutral,redist_commis,cf_lim_judg,cf_pub_judg,app_teapar,vote_teapar,ed_hscivics,ed_hscom,ed_mscom,gun_rts1,gun_rts2,gun_own,gun_concealsafe,gun_85percent,gun_bigmin,fix_deficit_il,tax_inc_temp,cops_makeup,cops_protect,cops_pro1,cops_rate,cops_rate1,cops_match,cops_mat1,cops_respond,cops_resp1,cops_mil,abort_leg,lg_rights,betteroff_now,beteroff_1yr,news_often,education,ideo_leans,ideology,party_leans,party_aff1,employ_time,employ_type,retired_type,relig_often,relig_1,relig_2,religion,born_again1,born_again,zip,age_cat,birth_yr,rac_eth1,rec_eth_other,neighborhood1,neighborhood,hhinc1,male,female,Generation,hhinc,party_aff,rac_eth
002616,3,1, , ,1,1,1,1,2,1,2,1,1,1,1,4,2, ,1,1, ,3,2, ,4,3,2,4,2,1,2,1,3,8,3,1,3,4, ,2,2,2,1,2,2,2,1,2,1,1,1,5,3,1,1,2,2,2,3,3,1,5,4,3,5,3,3, ,3,3,1, ,1,5,2,62062,8,1958,2, ,5,5,6,1,0,2,3,3,2
000380,2,2,1,1, ,1,1,2,2,2,2,3,3,2,2,1,1, ,5,3, ,3,2, ,1,1,1,1,1,2,1,2,2,9,9,2,1,1,2, ,2,8,1,1,2,1,2,4,2,4,2,1,1,5,3,2,1,1,1,3,2,5,1,1,4,2,1,1, ,5, ,3,3, , ,60142,1,1991,1, ,5,5,7,1,0,4,4,2,1
002546,2,2,1,1, ,1,2,2,2,2,3,3,2,2,2,9,9, ,1,1, ,2,1, ,1,1,1,1,1,2,1,1,2,3,2,1,2,1,1, ,1,1,1,1,2,1,1,3,2,3,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2, ,1,2, ,2, , ,60655,5,1972,1, ,2,2,1,0,1,3,1,1,1
002836,2,2,1,1, ,1,1,1,1,2,2,2,1,2,2,1,1, ,2,1, ,1,1, ,1,1,1,1,1,1,1,1,2,2,1,1,3,3,1, ,1,1,2,3,1,3,1,1,1,1,1,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,2,3, ,1,8, ,8, , ,60565,1,1995,6,ASIAN AND WHITE,1,1,1,1,0,4,1,1,3
002527,3,1, , ,1,1,2,2,2,2,4,1,1,1,1,4,2, ,1,1, ,1,1, ,9,9,2,4,2,9,1,1,4,2,3,1,1,1, ,1,1,1,9,1,2,2,2,2,1,9,9,1,1,1,1,1,2,3,3,2,1,2,5,3,7,3,3, ,1,1,1, ,1,2,1,60914,12,1938,1, ,5,5,5,0,1,1,2,3,1
002133,2,1, , ,1,1,2,2,2,1,2,1,3,2,8,1,1, ,3,2, ,6,3, ,1,1,1,1,1,2,1,2,2,8,3,2,2,3, ,2,2,1,2,3,2,2,2,1,1,1,1,1,1,1,1,2,3,2,3,1,2,4,3,2,2,1,1,1, ,3,1, ,1,2,1,60137,3,1981,2, ,5,5,3,0,1,3,1,1,2
000203,1,1, , ,1,1,1,2,2,2,3,2,1,2,2,3,2, ,2,1, ,2,1, ,1,2,4,3,1,2,1,1,1,1,3,4,1,1,9, ,9,8,2,9,2,1,1,2,1,2,1,3,2,1,1,1,4,1,2,3,4,6,3,2,5,3,4, , ,4, ,1,1,5,2,60608,9,1953,4, ,3,3,1,1,0,2,1,3,3
000812,1,1, , ,1,1,2,2,2,2,2,1,1,1,1,1,1, ,3,2, ,3,2, ,4,1,1,1,1,1,2,1,4,8,3,1,1,1,2, ,2,2,1,1,3,2,1,3,2,2,1,1,1,1,1,2,1,1,1,3,1,2,5,3,1,1,4, , ,3,1, ,1,5,2,60616,10,1945,2, ,2,2,7,0,1,1,4,1,2
001373,1,1, , ,1,1,2,2,2,2,3,1,1,1,8,3,2, ,1,1, ,1,1, ,9,2,1,4,2,9,1,1,4,8,3,1,2,2,2, ,2,2,1,1,2,2,9,9,9,9,9,2,1,1,1,9,1,1,3,9,1,6,4,3,4,2,4, , ,4, ,9,9, , ,60610,14,0,1, ,5,5,9,0,1,0,9,2,1
000596,2,1, , ,1,1,1,2,2,2,4,1,1,1,2,9,9, ,9,9, ,1,1, ,1,4,3,1,1,2,2,2,2,1,5,1,1,1, ,2,2,1,9,9,2,2,1,2,1,2,1,1,1,2,1,1,1,4,1,3,2,3,1,1,8,8,1,4, ,1,1, ,1,3,1,60453,9,1954,1, ,5,5,4,1,0,2,2,9,1
001160,2,1, , ,1,1,2,1,2,1,2,1,1,1,2,9,9, ,1,1, ,3,2, ,1,3,1,3,1,2,3,3,3,8,5,1,1,1,2, ,2,8,1,1,3,3,1,2,1,2,1,2,1,1,1,2,3,2,3,3,2,3,3,2,6,3,4, , ,1,1, ,1,2,1,60516,12,1939,1, ,5,5,2,0,1,1,1,3,1
001504,1,2,1,1, ,1,1,2,2,1,1,1,2,2,2,1,1, ,3,2, ,3,2, ,2,9,1,1,1,2,1,1,1,4,5,2,2,2, ,2,2,2,2,4,3,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,4,6,1,1,1,1,1,1, ,4, ,2,2, , ,60647,4,1976,1, ,4,4,6,1,0,3,3,1,1
000724,3,2,1,1, ,1,1,1,2,1,1,1,1,1,2,1,1, ,3,2, ,3,2, ,1,1,1,9,1,1,1,1,2,4,5,2,9,9, ,2,2,2,9,9,3,2,1,1,1,2,1,1,1,1,1,2,1,1,3,3,2,6,2,1,1,1,1,4, ,1,1, ,1,5,2,62298,11,1943,1, ,5,5,6,1,0,1,3,1,1
001311,3,2,1,1, ,1,1,2,2,2,3,1,2,2,2,3,2, ,1,1, ,1,1, ,1,2,2,4,2,2,1,2,2,2,3,2,3,3,9, ,9,8,9,9,3,2,2,2,1,2,1,1,1,1,1,2,2,2,3,2,1,3,4,3,5,3,3, ,1,3,1, ,1,4,1,61115,10,1948,1, ,5,5,5,1,0,2,2,3,1
002426,3,2,1,1, ,1,2,2,2,2,3,9,3,2,2,9,9, ,9,9, ,9,9, ,2,1,1,1,1,1,3,1,3,8,3,9,2,2, ,1,1,1,1,1,2,1,2,3,2,2,1,1,1,1,1,2,3,2,2,2,2,3,3,2,2,1,2,9, ,3,2, ,2, , ,62830,3,1981,1, ,5,5,3,0,1,3,1,1,1
003075,3,2,1,1, ,1,2,1,1,1,1,1,1,1,2,1,1, ,3,2, ,3,2, ,1,2,1,1,1,1,3,1,1,8,3,1,1,2, ,2,2,8,2,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,3,3,4,2,2,1,2,1,2,1, ,2,1, ,1,5,2,60051,5,1973,1, ,5,5,6,0,1,3,3,1,1
001880,2,2,1,1, ,1,1,1,2,2,3,1,9,2,2,2,1, ,1,1, ,3,2, ,2,1,1,4,2,2,2,1,4,4,5,1,1,1, ,2,2,2,1,1,2,2,1,3,2,3,2,5,3,2,1,2,2,1,1,1,1,6,3,2,3,1,1,2, ,1,2, ,2, , ,60632,5,1971,4, ,3,3,7,1,0,3,4,1,3
002737,2,2,1,1, ,1,2,1,2,1,2,1,1,1,2,3,2, ,9,9, ,3,2, ,9,2,2,2,1,2,3,2,1,4,5,1,1,1, ,2,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,6,2,1,4,2,4, , ,1,1, ,1,1,1,60477,10,1949,1, ,5,5,6,0,1,2,3,2,1
000907,3,1, , ,1,1,1,2,2,1,3,1,1,1,1,4,2, ,1,1, ,1,1, ,4,4,4,4,2,1,1,3,4,2,3,1,3,3,1, ,1,8,1,3,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,3,1,6,4,3,5,3,3, ,1,4, ,1,1,5,2,61614,11,1940,1, ,5,5,7,1,0,1,4,3,1
001719,3,1, , ,1,1,2,2,2,2,2,1,1,1,1,4,2, ,1,1, ,1,1, ,4,1,4,4,2,3,1,4,4,9,3,1,2,1, ,1,1,1,1,9,2,2,2,1,1,1,1,9,9,1,1,1,3,2,3,2,1,2,5,3,7,3,2,4, ,1,1, ,1,4,1,62254,7,1961,1, ,6,6,6,0,1,2,3,3,1
001242,2,2,1,1, ,1,2,2,2,1,1,1,1,1,1,4,2, ,1,1, ,1,1, ,4,1,9,3,2,4,1,1,3,2,9,1,1,1, ,1,1,8,9,2,1,2,2,1,1,1,1,1,1,1,1,9,2,2,3,3,1,5,4,3,7,3,1,1, ,3,1, ,1,1,1,60093,9,1954,1, ,5,5,6,0,1,2,3,3,1
001815,2,2,1,1, ,1,1,2,2,2,3,1,1,1,1,4,2, ,2,1, ,1,1, ,2,4,3,3,2,2,2,3,4,8,3,1,2,2, ,1,1,1,2,2,3,2,2,2,1,1,1,9,9,1,1,2,3,2,3,3,1,5,4,3,7,3,1,4, ,5, ,3,3, , ,60102,8,1957,3, ,5,5,7,1,0,2,4,3,3
006448,2,1, , ,1,1,1,2,1,1,1,1,2,2,1,1,1, ,3,2, ,3,2, ,4,4,3,4,2,1,2,1,1,4,5,1,1,1,2, ,2,9,2,4,2,2,2,1,1,1,1,1,1,2,1,2,2,2,3,1,1,6,3,2,2,1,1,4, ,2,1, ,1,5,2,60181,14,0,1, ,5,5,6,1,0,0,3,1,1
004209,2,1, , ,1,1,2,2,2,1,2,1,1,1,8,1,1, ,1,1, ,3,2, ,1,2,2,9,2,2,2,4,2,4,5,3,1,1,2, ,2,2,1,1,2,2,2,1,1,2,1,9,9,1,1,2,2,2,2,3,1,3,3,2,2,1,3, ,1,5, ,1,1,5,2,60090,12,1935,1, ,6,6,1,0,1,1,1,1,1
005119,2,1, , ,1,1,2,2,1,1,2,1,3,2,2,4,2, ,1,1, ,1,1, ,3,3,1,2,1,2,1,2,2,2,2,3,4,4,2, ,2,2,1,3,4,1,9,2,1,2,1,2,1,2,1,2,2,1,3,3,3,3,2,1,5,3,3, ,1,4, ,1,1,5,2,60629,7,1961,4, ,4,4,1,0,1,2,1,3,3
005879,2,1, , ,1,1,2,3,3,1,2,1,2,2,8,3,2, ,9,9, ,1,1, ,2,2,2,9,3,2,3,3,3,8,3,2,9,9, ,9,9,9,1,2,3,3,2,2,1,2,1,2,1,1,1,2,2,1,3,3,3,5,3,2,6,3,1,9, ,4, ,1,1,5,2,99999,14,0,1, ,5,5,9,0,1,0,9,3,1
006596,2,1, , ,1,1,1,2,2,1,3,1,1,1,2,1,1, ,3,2, ,3,2, ,1,1,1,2,1,2,2,2,2,4,5,1,2,2, ,2,2,2,1,1,3,2,2,3,2,3,2,4,3,2,1,1,1,2,3,3,1,3,1,1,1,1,3, ,3,3,1, ,1,5,2,60406,9,1951,2, ,1,1,3,1,0,2,1,1,2
005729,2,2,1,1, ,1,1,3,2,1,1,1,3,2,2,9,9, ,2,1, ,9,9, ,1,2,2,2,1,1,1,2,3,4,5,1,2,2, ,1,1,2,2,3,2,2,9,9,9,9,9,9,9,9,9,2,1,1,3,3,1,6,3,2,9,9,1,1, ,4, ,3,3, , ,60543,4,1975,7, ,9,9,9,1,0,3,9,9,7
006359,2,1, , ,1,1,1,2,2,3,3,1,1,1,8,9,9, ,9,9, ,9,9, ,9,9,3,4,2,3,3,3,3,8,9,1,4,4, ,1,1,9,2,9,2,1,2,2,1,2,1,9,9,2,1,9,2,2,3,2,1,4,4,3,9,9,3, ,1,2,1, ,1,3,1,60002,10,1946,1, ,5,5,5,1,0,1,2,9,1
003827,2,1, , ,1,1,1,2,1,1,1,1,1,1,1,1,1, ,3,2, ,3,2, ,1,1,1,1,1,1,1,1,4,8,1,1,1,1, ,2,2,2,1,2,2,1,2,1,1,1,1,5,3,1,1,2,2,1,2,1,2,1,2,1,1,1,4, , ,1,1, ,1,5,2,60659,3,1981,4, ,5,5,4,1,0,3,2,1,3
004607,2,1, , ,1,1,1,2,2,2,3,1,1,1,1,9,9, ,9,9, ,9,9, ,2,9,1,9,1,1,1,1,4,1,2,2,1,9, ,1,1,1,1,2,1,2,2,1,1,1,1,4,3,1,1,2,2,1,2,2,1,6,2,1,9,9,4, , ,1,1, ,1,5,2,99999,12,1939,1, ,5,5,9,1,0,1,9,9,1
005720,2,1, , ,1,1,2,1,1,1,2,1,2,2,8,1,1, ,3,2, ,3,2, ,1,1,1,1,2,2,3,4,1,8,9,4,1,4,9, ,9,2,9,4,5,2,2,3,2,3,2,5,3,1,1,1,3,1,2,3,1,4,3,2,1,1,1,3, ,5, ,1,1,1,1,60624,8,1957,2, ,2,2,2,0,1,2,1,1,2
003940,3,1, , ,1,1,2,2,2,1,3,1,2,2,2,1,1, ,3,2, ,3,2, ,1,1,2,1,1,2,1,2,2,8,5,2,1,1,2, ,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,3,3,1,5,2,1,3,1,1,3, ,4, ,1,1,5,2,62040,6,1969,1, ,5,5,6,0,1,3,3,1,1
005552,3,1, , ,1,1,2,2,2,1,2,1,1,1,1,4,2, ,1,1, ,1,1, ,2,2,3,4,2,2,2,2,3,1,3,1,3,3, ,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,3,2,1,3,4,3,5,3,3, ,1,3,1, ,1,5,2,61244,10,1946,1, ,5,5,3,0,1,1,1,3,1
005962,3,1, , ,1,1,1,1,2,1,1,1,1,1,8,4,2, ,3,2, ,3,2, ,1,1,4,1,1,1,2,4,4,8,5,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1,1,5,3,1,1,2,1,1,1,1,1,4,1,1,5,3,1,4, ,5, ,3,3, , ,60404,5,1971,1, ,5,5,7,1,0,3,4,3,1
003994,3,1, , ,1,1,2,2,2,3,3,1,1,1,2,8,8,QUINN,3,2, ,1,1, ,3,1,2,2,2,2,1,2,1,9,3,1,1,1, ,1,1,9,1,1,5,2,2,9,9,2,1,1,1,4,3,1,3,3,2,3,9,2,3,2,9,9,3, ,3,1,1, ,1,5,2,62702,11,1943,1, ,5,5,3,0,1,1,1,9,1
004038,1,1, , ,1,1,1,2,2,2,4,1,1,1,1,4,2, ,1,1, ,1,1, ,1,4,4,4,2,1,1,3,4,1,1,1,1,1, ,1,1,1,1,2,2,2,2,3,2,4,2,4,3,1,1,2,2,3,2,3,1,5,5,3,7,3,2,1, ,4, ,1,1,5,2,60611,14,0,1, ,5,5,5,1,0,0,2,3,1
004709,3,1, , ,1,1,2,1,2,1,3,1,1,1,1,1,1, ,3,2, ,3,2, ,1,2,1,1,1,4,1,4,4,4,5,1,1,1, ,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,3, ,1,5, ,3,3, , ,51008,12,1935,1, ,5,5,2,0,1,1,1,1,1
005835,2,1, , ,1,1,1,2,1,1,3,1,2,2,1,3,2, ,1,1, ,2,1, ,2,2,4,1,1,2,1,2,2,1,2,3,2,1, ,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,4,1,3,1,2,4,4,3,5,3,4, , ,5, ,2,2, , ,60169,6,1968,1, ,1,1,7,1,0,3,4,3,1
004035,2,2,1,1, ,1,2,1,2,2,5,1,3,2,2,1,1, ,3,2, ,9,9, ,4,1,2,3,1,2,1,9,1,8,9,1,1,3, ,2,2,2,2,4,3,1,1,2,1,1,1,2,1,1,1,2,1,1,3,1,1,3,2,1,3,1,4, , ,3,1, ,1,5,2,60827,2,1987,2, ,1,1,1,0,1,4,1,1,2
006839,2,1, , ,1,1,2,1,1,1,3,3,1,2,2,1,1, ,1,1, ,9,9, ,9,9,2,9,1,9,3,9,9,8,3,2,2,3,9, ,9,2,9,1,3,1,2,2,1,2,1,2,1,2,1,2,2,1,3,2,2,5,9,9,4,2,2,4, ,4, ,2,2, , ,60561,7,1962,3, ,9,9,7,0,1,2,4,2,3
005861,2,1, , ,1,1,2,1,2,1,2,1,2,2,2,4,2, ,1,1, ,1,1, ,1,2,1,2,1,2,1,3,2,2,2,1,1,2, ,2,2,2,2,2,2,2,2,1,1,1,1,4,3,1,1,2,2,1,3,3,1,3,2,1,3,1,3, ,1,4, ,1,1,5,2,60546,11,1942,1, ,5,5,4,0,1,1,2,1,1
006625,2,1, , ,1,1,1,1,2,1,1,1,1,1,8,4,2, ,3,2, ,1,1, ,2,1,1,3,2,2,1,3,4,2,3,1,4,4, ,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6,3,2,6,3,3, ,3,4, ,1,1,5,2,60091,12,1937,1, ,5,5,9,1,0,1,9,3,1
006689,2,1, , ,1,1,2,2,3,2,5,1,1,1,2,1,1, ,3,2, ,1,1, ,3,2,2,2,1,2,1,2,2,4,5,2,1,2,1, ,1,2,2,3,1,1,1,2,1,2,1,2,1,2,1,2,1,3,3,3,1,5,5,3,3,1,3, ,3,1,1, ,1,1,1,60617,13,1934,2, ,1,1,9,0,1,1,9,1,2
005920,2,1, , ,1,1,2,2,1,1,3,1,2,2,1,1,1, ,4,2, ,4,2, ,2,2,1,2,1,2,1,3,3,8,9,2,1,2,2, ,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,4,2,1,1,3,2,1,1,1,1,1, ,1,1, ,1,2,1,60628,8,1959,2, ,1,1,2,0,1,2,1,1,2
003964,2,1, , ,1,1,1,2,2,2,3,1,1,1,2,8,8,NOBODY,5,3, ,5,3, ,4,4,4,1,2,4,2,4,1,2,2,4,4,4, ,1,1,1,2,4,2,2,9,5,2,4,2,3,2,5,3,2,1,1,2,1,2,6,4,3,8,8,1,1, ,5, ,1,1,8, ,60540,2,1985,1, ,6,6,6,1,0,4,3,9,1
004375,2,1, , ,1,1,1,1,1,1,2,1,1,1,2,9,9, ,3,2, ,3,2, ,1,2,3,1,1,1,1,1,2,4,4,1,1,1, ,2,2,2,2,1,3,1,2,2,1,2,1,5,3,1,1,2,1,1,3,3,1,6,2,1,1,1,2,3, ,1,1, ,1,5,2,60118,11,1943,1, ,5,5,6,1,0,1,3,1,1
004900,2,1, , ,1,1,1,2,3,2,1,2,1,2,1,9,9, ,9,9, ,9,9, ,1,1,2,2,1,1,1,1,9,4,5,1,1,2, ,1,1,1,2,4,3,3,1,9,9,9,9,3,2,9,9,2,1,1,3,3,4,2,3,2,4,2,4, , ,5, ,3,3, , ,60047,1,1994,1, ,5,5,8,1,0,4,9,2,1
007071,2,1, , ,1,1,1,2,2,1,2,1,3,2,1,4,2, ,1,1, ,1,1, ,1,2,1,1,1,9,1,4,1,1,1,1,1,1, ,2,2,2,1,1,2,1,2,5,2,1,1,5,3,1,1,2,1,3,2,1,1,3,5,3,7,3,2,4, ,1,1, ,1,5,2,60659,8,1957,6,ASSYERIAN,6,6,5,1,0,2,2,3,3
003799,2,1, , ,1,1,1,1,2,1,1,1,1,1,8,1,1, ,1,1, ,3,2, ,4,2,3,2,1,1,1,1,1,4,5,2,1,1, ,1,1,2,2,2,3,2,1,2,1,1,1,1,1,2,1,1,1,2,2,3,1,6,3,2,4,2,1,1, ,1,1, ,1,5,2,60015,6,1967,1, ,5,5,6,1,0,3,3,2,1
004137,2,1, , ,1,1,2,2,2,2,3,1,1,1,1,4,2, ,1,1, ,1,1, ,1,1,1,2,1,1,1,1,1,8,2,2,1,1, ,1,1,1,9,2,3,2,1,3,2,3,2,2,1,2,1,2,2,2,3,3,1,3,3,2,6,3,1,2, ,3,1, ,1,5,2,60401,9,1954,1, ,5,5,6,0,1,2,3,3,1
005220,2,1, , ,1,1,1,1,3,3,4,1,1,1,8,1,1, ,3,2, ,3,2, ,1,2,1,2,1,2,3,9,9,8,5,2,2,2,1, ,1,8,9,9,2,3,1,2,1,2,1,2,1,2,1,9,4,1,3,3,2,2,9,9,1,1,4, , ,3,1, ,1,2,1,60201,5,1970,2, ,1,1,8,1,0,3,9,1,2
006279,2,1, , ,1,1,2,2,2,1,2,1,1,1,8,9,9, ,9,9, ,3,2, ,3,3,1,2,1,9,3,9,9,4,5,1,1,1,2, ,2,2,1,1,3,3,9,2,1,2,1,2,1,1,1,2,2,1,3,3,1,4,2,1,2,1,3, ,1,1,2, ,2, , ,60422,9,1952,1, ,2,2,6,0,1,2,3,1,1
003767,2,1, , ,1,1,1,2,2,2,4,1,3,2,2,4,2, ,5,3, ,1,1, ,3,2,3,2,1,2,1,2,3,2,2,1,1,2,1, ,1,1,1,1,1,2,2,1,1,4,2,1,1,1,1,1,2,2,2,3,1,5,4,3,6,3,1,3, ,3,1, ,1,5,2,60631,4,1976,7, ,4,4,6,1,0,3,3,3,7
004485,2,1, , ,1,1,2,1,1,2,1,1,1,1,1,1,1, ,3,2, ,3,2, ,1,2,1,3,1,2,1,2,3,4,5,2,3,3, ,2,2,2,2,3,2,2,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,6,1,1,1,1,1,2, ,1,1, ,1,5,2,60620,6,1968,2, ,1,1,9,0,1,3,9,1,2
003869,3,1, , ,1,1,1,2,2,2,2,1,1,1,8,4,2, ,1,1, ,1,1, ,3,2,4,4,2,2,2,4,4,2,2,1,2,2, ,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,3,3,3,1,5,5,3,8,8,1,1, ,1,1, ,1,5,2,62960,6,1965,1, ,5,5,5,1,0,3,2,9,1
